# City centres used to snap a user's location to their city. Columns: name, lat, lng, population.
# Source: GeoNames cities15000 (https://www.geonames.org), licensed CC BY 4.0.
# Rows with feature code PPLX (a section of a populated place, i.e. suburbs) are removed.
les Escaldes	42.5073	1.5341	15853
Andorra la Vella	42.5078	1.5211	20430
Warīsān	25.1674	55.4071	108759
Umm Al Quwain City	25.5647	55.5552	59098
Ţarīf Kalbā	25.0695	56.3312	51000
Ras Al Khaimah	25.7895	55.9432	351943
Zayed City	23.6542	53.7052	63482
Khawr Fakkān	25.3313	56.3420	40677
Kalbā	25.0513	56.3542	37545
Dubai	25.0772	55.3093	3790000
Dibba Al-Fujairah	25.5925	56.2618	30000
Dibba Al-Hisn	25.6196	56.2729	26395
Sharjah	25.3342	55.4122	1800000
Ar Ruways	24.1103	52.7306	25000
Ḩattā	24.8007	56.1273	15324
Fujairah	25.1164	56.3414	118933
Al Ain City	24.1917	55.7606	846747
Ajman	25.4018	55.4788	490035
Adh Dhayd	25.2881	55.8816	20165
Abu Dhabi	24.4512	54.3970	1807000
The Palm Jumeirah	25.1161	55.1351	25500
Bur Dubai	25.2604	55.2989	18698
Khalifah A City	24.4259	54.6050	85374
Jebel Ali	25.0025	55.1081	210000
Bani Yas City	24.3098	54.6294	80498
Musaffah	24.3589	54.4827	243341
Al Shamkhah City	24.3927	54.7078	61710
Reef Al Fujairah City	25.1448	56.2476	82310
Halwan	25.3459	55.4216	19389
Al Sajaah	25.3153	55.6321	53079
Lahbab	25.0376	55.5913	53079
Mohammed Bin Zayed City	24.3479	54.5537	85000
Zaranj	30.9596	61.8604	49851
Bāzār-e Yakāwlang	34.7353	66.9738	65000
Taloqan	36.7360	69.5345	64256
Shīnḏanḏ	33.3029	62.1474	29264
Shibirghān	36.6676	65.7529	55641
Shahrak	34.1074	64.3052	15967
Sar-e Pul	36.2154	65.9325	52121
Sang-e Chārak	35.8497	66.4369	15377
Aībak	36.2647	68.0155	47823
Rustāq	37.1260	69.8304	25636
Qarqīn	37.4185	66.0436	15018
Qarāwul	37.2196	68.7802	24544
Pul-e Khumrī	35.9446	68.7151	56369
Paghmān	34.5879	68.9509	49157
Nīlī	33.7218	66.1302	30058
Nahrīn	36.0649	69.1334	22363
Maymana	35.9214	64.7836	75900
Mehtar Lām	34.6714	70.2094	17345
Mazār-e Sharīf	36.7090	67.1109	523300
Lashkar Gāh	31.5938	64.3716	43934
Kushk	33.2957	61.9522	16952
Kunduz	36.7289	68.8570	161902
Khōst	33.3395	69.9204	96123
Khulm	36.6974	67.6983	64933
Khāsh	31.5292	62.7906	15133
Khān Neshīn	30.5488	63.7888	25600
Khanabad	36.6830	69.1128	71531
Karukh	34.4811	62.5863	17484
Kandahār	31.6133	65.7101	523300
Kabul	34.5281	69.1723	4434550
Jurm	36.8648	70.8342	23064
Jalālābād	34.4265	70.4515	271900
Jabal os Saraj	35.1183	69.2378	15032
Herāt	34.3482	62.1997	574300
Ghormach	35.7306	63.7826	30000
Ghazni	33.5539	68.4210	141000
Gereshk	31.8209	64.5700	43588
Gardez	33.5974	69.2259	103601
Fayzabad	37.1166	70.5800	44421
Farah	32.3745	62.1164	43561
Istālif	34.8327	69.0776	41413
Eslam Qaleh	34.6667	61.0667	18086
Charikar	35.0136	69.1714	53676
Baraki Barak	33.9674	68.9492	22305
Bāmyān	34.8216	67.8273	61863
Balkh	36.7563	66.8972	114883
Bahārak	37.0025	70.9066	32551
Bagrām	34.9669	69.2650	113173
Baghlān	36.1307	68.7083	108449
Ārt Khwājah	37.0857	69.4796	18623
Āsmār	35.0333	71.3581	15708
Asadābād	34.8731	71.1470	48400
Andkhoy	36.9529	65.1238	37900
Bāzārak	35.3129	69.5152	65000
